2,12,7,3,1,13,15,16,18,9,6,8,14,10,17,4,5,11,19,20
1,11,12,2,10,19,14,15,13,5,6,3,8,4,20,9,17,18,7,16
7,1,3,8,15,14,11,9,10,17,18,2,5,20,6,4,16,12,13,19
1,5,10,2,6,9,7,3,8,11,12,13,14,15,16,17,18,19,4,20
2,5,6,10,11,12,1,8,9,3,19,4,7,13,14,15,16,17,18,20
19,15,5,10,7,6,4,9,11,20,1,18,14,16,17,8,12,2,3,13
13,7,3,1,12,4,16,2,5,10,9,6,14,18,17,11,15,20,8,19
18,11,1,20,4,9,12,13,14,15,7,8,2,5,3,19,6,16,10,17
6,9,16,18,2,1,11,19,17,14,7,5,4,3,12,15,20,8,10,13
3,2,1,18,7,16,11,12,13,14,15,9,5,4,8,17,10,19,20,6
8,9,16,1,2,3,4,6,13,17,18,5,10,11,12,14,15,19,7,20
5,1,7,3,19,14,15,16,12,13,10,11,18,6,8,9,2,17,20,4
1,2,3,4,7,13,12,15,19,5,6,10,14,11,17,16,8,9,18,20
5,12,8,2,11,16,19,10,3,17,18,20,14,15,6,13,1,7,9,4
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,4,2,1,5,8,10,17,14,7,9,15,12,13,11,16,19,6,20,18
2,1,9,3,4,8,10,16,15,13,14,12,11,5,6,7,17,18,19,20
3,2,6,20,1,11,19,5,9,18,15,13,16,14,12,10,8,7,4,17
1,18,16,5,4,2,15,20,17,3,11,10,12,14,8,9,19,6,7,13
12,13,4,17,18,16,5,1,3,11,20,15,9,8,7,14,2,10,6,19
4,7,5,2,19,1,8,20,12,11,10,9,6,14,15,16,3,17,18,13
1,2,3,7,8,9,16,18,12,14,5,6,10,11,4,13,15,19,20,17
1,2,3,5,8,10,11,12,13,14,15,16,17,18,19,4,6,7,9,20
2,7,4,3,5,12,14,8,15,1,11,10,6,17,13,16,20,18,9,19
6,1,4,5,13,8,7,14,15,17,18,2,19,16,11,3,9,20,12,10
17,9,6,19,18,20,3,4,2,13,10,1,14,15,16,12,7,11,5,8
9,12,13,18,7,11,19,2,10,17,15,3,5,6,1,14,4,8,20,16
1,2,3,4,6,11,10,12,5,7,8,9,13,14,15,16,17,18,19,20
3,14,6,1,2,16,15,5,4,9,10,17,11,12,18,7,19,8,20,13
12,18,13,20,8,14,5,3,4,15,6,7,10,16,9,17,1,2,19,11
5,17,11,18,19,10,9,16,14,12,4,7,3,2,1,15,8,20,6,13
5,2,19,13,6,8,7,1,3,9,17,12,11,10,16,14,4,20,15,18
7,19,20,12,11,16,15,9,10,17,13,8,1,3,2,5,4,18,6,14
16,1,2,19,10,4,12,6,7,8,9,11,5,14,13,15,18,3,20,17
13,3,1,10,11,2,6,7,8,18,19,5,16,14,15,9,20,12,17,4
4,18,1,2,12,13,6,15,17,3,11,19,5,16,7,8,10,14,9,20
20,13,3,9,10,7,15,14,1,18,11,6,5,2,12,8,19,17,16,4
2,3,6,1,5,10,17,12,16,14,13,11,20,15,18,4,7,9,8,19
1,6,20,11,12,3,5,4,2,19,17,13,18,15,14,7,8,9,10,16
8,9,12,15,16,5,1,2,13,14,3,4,6,11,10,17,18,19,7,20
6,1,4,13,11,19,12,20,15,5,14,9,17,7,2,3,8,10,16,18
1,2,14,15,20,13,10,11,12,3,4,5,6,7,8,9,16,17,18,19
1,3,2,5,4,6,15,10,14,13,18,9,16,17,12,7,19,11,8,20
3,8,1,10,13,15,6,9,2,4,12,19,20,5,16,14,18,11,7,17
16,15,10,1,7,2,17,13,6,3,20,12,14,19,18,9,8,5,4,11
3,17,7,19,2,1,15,12,11,10,18,4,13,14,5,9,6,16,20,8
1,2,5,3,16,9,14,8,10,17,19,11,13,7,12,15,20,18,4,6
2,1,10,4,5,6,7,8,9,11,14,15,13,12,16,17,18,19,20,3
2,3,1,8,5,9,11,10,7,12,13,16,17,18,19,4,14,6,20,15
15,2,9,16,8,10,1,13,5,6,11,12,7,4,3,18,19,17,20,14
5,13,1,2,6,7,12,3,4,15,14,16,17,18,19,8,9,10,11,20
6,18,14,1,15,13,7,2,10,16,4,8,12,11,17,3,5,9,20,19
13,18,3,4,12,10,9,14,15,16,2,1,19,20,11,5,7,8,6,17
10,20,7,1,8,3,5,11,2,14,18,15,6,16,13,19,17,9,4,12
10,2,3,19,12,9,5,1,7,8,16,6,13,14,15,18,4,11,17,20
6,7,10,16,12,17,19,1,15,2,11,14,4,8,9,13,20,18,5,3
7,6,19,15,2,3,4,5,13,11,16,17,1,10,14,18,9,12,8,20
1,3,6,5,2,7,13,17,10,14,15,18,16,12,11,8,20,19,4,9
3,1,2,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,16
6,1,7,17,18,15,14,4,5,16,8,10,12,19,20,9,3,2,13,11
14,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20
5,3,2,10,11,7,12,20,9,19,6,17,8,1,18,16,15,14,13,4
16,17,12,13,19,20,11,6,3,1,18,8,4,5,9,10,14,7,2,15
1,2,5,18,4,11,16,17,7,15,3,8,12,13,14,6,9,10,19,20
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
12,1,2,11,4,13,18,19,5,7,8,9,14,15,3,6,10,16,17,20
6,5,3,1,2,4,20,16,17,18,19,13,14,15,11,8,9,10,7,12
12,5,8,7,9,1,10,14,13,17,18,15,19,20,6,3,2,11,16,4
2,9,12,11,10,1,5,6,4,17,14,16,18,19,7,20,3,15,8,13
3,5,4,14,20,2,13,11,1,12,7,15,16,8,9,17,10,18,19,6
14,2,17,1,3,7,9,8,15,16,4,10,18,19,13,11,5,6,12,20
15,10,11,17,18,19,2,16,3,4,12,6,7,5,20,14,13,8,9,1
3,16,15,7,8,12,11,10,4,14,1,17,13,9,2,18,19,20,5,6
4,9,7,5,17,13,15,11,18,10,16,3,8,14,2,1,19,12,20,6
19,4,10,3,2,5,8,9,14,1,17,18,15,7,11,6,12,20,13,16
1,2,3,8,6,16,9,10,15,20,4,17,18,19,11,12,5,7,13,14
